keyword,description,category,datatype,comment,hdu,missions,mandatory,content,relevance_score,relevance_comment,user_comment
PC1_1,"Linear transformation matrix element (1,1) — alternative to CDi_j",WCS,float,Linear transformation matrix,SCI,FITS Standard; JWST,False,"This value is an element of the projection coordinate (PC) matrix, an alternative or complementary way to define the linear transformation from pixel coordinates to celestial coordinates. Like the CDi_j matrix, it encodes information about the pixel scale, rotation, and any skew present in the image. It is fundamental for software to correctly interpret the image's orientation and scale on the sky.",75,"These values are critical for the software to accurately transform pixel locations into celestial coordinates, enabling precise astrometry and sky overlays.",
PC1_2,"Linear transformation matrix element (1,2)",WCS,float,Linear transformation matrix,SCI,FITS Standard; JWST,False,"This value is an element of the projection coordinate (PC) matrix, an alternative or complementary way to define the linear transformation from pixel coordinates to celestial coordinates. Like the CDi_j matrix, it encodes information about the pixel scale, rotation, and any skew present in the image. It is fundamental for software to correctly interpret the image's orientation and scale on the sky.",75,"These values are critical for the software to accurately transform pixel locations into celestial coordinates, enabling precise astrometry and sky overlays.",
PC2_1,"Linear transformation matrix element (2,1)",WCS,float,Linear transformation matrix,SCI,FITS Standard; JWST,False,"This value is an element of the projection coordinate (PC) matrix, an alternative or complementary way to define the linear transformation from pixel coordinates to celestial coordinates. Like the CDi_j matrix, it encodes information about the pixel scale, rotation, and any skew present in the image. It is fundamental for software to correctly interpret the image's orientation and scale on the sky.",75,"These values are critical for the software to accurately transform pixel locations into celestial coordinates, enabling precise astrometry and sky overlays.",
PC2_2,"Linear transformation matrix element (2,2)",WCS,float,Linear transformation matrix,SCI,FITS Standard; JWST,False,"This value is an element of the projection coordinate (PC) matrix, an alternative or complementary way to define the linear transformation from pixel coordinates to celestial coordinates. Like the CDi_j matrix, it encodes information about the pixel scale, rotation, and any skew present in the image. It is fundamental for software to correctly interpret the image's orientation and scale on the sky.",75,"These values are critical for the software to accurately transform pixel locations into celestial coordinates, enabling precise astrometry and sky overlays.",
RADESYS,"Celestial coordinate reference frame (e.g., ICRS, FK5)",WCS,string,Name of the coordinate reference frame,SCI,FITS Standard; JWST; HST; TESS; Pan-STARRS,False,"This keyword specifies the celestial coordinate reference system (e.g., ICRS, FK5) used for the Right Ascension and Declination values in the data. Knowing the reference system is vital for accurately interpreting object positions, comparing data from different sources, and ensuring proper coordinate transformations. For example, positions in ICRS are fixed, while FK5 positions slowly change due to precession.",95,"This keyword is essential for understanding the specific celestial coordinate system used for the data's RA/Dec values, ensuring correct interpretation and comparisons.",
EQUINOX,"Equinox of celestial coordinate system (e.g., 2000.0 for J2000)",WCS,float,Equinox of celestial coordinate system,SCI,FITS Standard; JWST; HST; GALEX; Pan-STARRS,False,"This keyword indicates the equinox (epoch) of the celestial coordinate system used for the data's Right Ascension and Declination, most commonly J2000.0. The equinox defines the orientation of the coordinate axes at a specific point in time, which is crucial for precise astrometry. Comparing observations from different eras requires knowing their respective equinoxes to account for precession.",90,"This keyword specifies the epoch of the celestial coordinate system, crucial for accurate astrometry and for comparing observations across different periods, especially if not J2000.0.",
LONPOLE,Native longitude of the celestial pole (degrees),WCS,float,Native longitude of the celestial pole,SCI,FITS Standard; JWST; HST,False,"This keyword specifies the longitude of the native celestial pole in degrees, which is a technical parameter used in certain World Coordinate System (WCS) projections. It helps define the orientation of the projection, particularly when transforming to or from non-standard coordinate systems or projections. Most end-users will not directly interact with this value, but it is used by WCS software for accurate sky mapping.",50,"This keyword is a technical detail within the WCS projection definition, primarily used by advanced software to correctly orient complex sky projections.",
LATPOLE,Native latitude of the celestial pole (degrees),WCS,float,Native latitude of the celestial pole,SCI,FITS Standard; JWST; HST,False,"This keyword specifies the native latitude of the celestial pole in degrees, relevant for certain specialized World Coordinate System (WCS) projections. It's a technical parameter defining part of how sky coordinates are mapped onto the image pixels.",30,"This is a low-level WCS parameter that is not directly consumed by most end-users, who typically work with the transformed RA/Dec coordinates.",
S_REGION,Spatial footprint of the observation in STC-S (IVOA) format,WCS,string,"spatial extent of the observation, footprint",SCI,JWST; TESS,False,"This keyword describes the precise spatial footprint of the observation on the sky using the IVOA's STC-S (Space-Time Coordinate System) format. It provides a polygon or region that delineates the exact area covered by the data, useful for database queries and visualization.",85,"This is highly relevant for understanding the exact sky coverage of an observation, valuable for search, display, and data comparison.",
A_ORDER,Degree of forward SIP polynomial (axis 1),WCS,integer,Degree of forward SIP polynomial,SCI,JWST; HST,False,This keyword specifies the degree of the forward 'Simple Imaging Polynomial' (SIP) used for distortion correction along the first image axis (x-axis). SIP coefficients are used to mathematically model and correct for optical distortions in the instrument.,25,"This is a technical detail of the WCS distortion model, not directly useful for general users who benefit from the corrected image but don't need the polynomial specifics.",
B_ORDER,Degree of forward SIP polynomial (axis 2),WCS,integer,Degree of forward SIP polynomial,SCI,JWST; HST,False,This keyword specifies the degree of the forward 'Simple Imaging Polynomial' (SIP) used for distortion correction along the second image axis (y-axis). SIP coefficients are used to mathematically model and correct for optical distortions in the instrument.,25,"This is a technical detail of the WCS distortion model, not directly useful for general users who benefit from the corrected image but don't need the polynomial specifics.",
AP_ORDER,Degree of inverse SIP polynomial (axis 1),WCS,integer,Degree of inverse SIP polynomial,SCI,JWST; HST,False,This keyword specifies the degree of the inverse 'Simple Imaging Polynomial' (SIP) used to reverse distortion corrections along the first image axis. These polynomials allow mapping from distorted image coordinates back to ideal pixel coordinates.,25,"This is a technical detail of the WCS distortion model for inverse transformations, not directly useful for general users.",
BP_ORDER,Degree of inverse SIP polynomial (axis 2),WCS,integer,Degree of inverse SIP polynomial,SCI,JWST; HST,False,This keyword specifies the degree of the inverse 'Simple Imaging Polynomial' (SIP) used to reverse distortion corrections along the second image axis. These polynomials allow mapping from distorted image coordinates back to ideal pixel coordinates.,25,"This is a technical detail of the WCS distortion model for inverse transformations, not directly useful for general users.",
SUBARRAY,"Subarray name (FULL if full frame, or named subarray up to 9 chars)",Subarray,string,Subarray used,PRIMARY,JWST; TESS; Kepler,False,"This keyword indicates if the observation captured the full detector frame or a specific, smaller region (subarray). It often provides a descriptive name for the subarray used, such as 'FULL' for full frame or a custom name.",60,"This is useful for understanding whether the image represents the full detector field of view or a specific partial readout, impacting interpretation and visualization.",
SUBSTRT1,Starting pixel in the full science frame axis 1 direction,Subarray,integer,Starting pixel in axis 1 direction,PRIMARY,JWST,False,This keyword indicates the starting pixel column (axis 1) of the observed subarray within the full detector frame. It specifies the leftmost pixel of the subarray in the original detector coordinates.,55,"This provides granular information about the subarray's position, useful for advanced visualization, comparison, or understanding detector layout.",
SUBSTRT2,Starting pixel in the full science frame axis 2 direction,Subarray,integer,Starting pixel in axis 2 direction,PRIMARY,JWST,False,This keyword indicates the starting pixel row (axis 2) of the observed subarray within the full detector frame. It specifies the bottommost pixel of the subarray in the original detector coordinates.,55,"This provides granular information about the subarray's position, useful for advanced visualization, comparison, or understanding detector layout.",
SUBSIZE1,Number of pixels in the subarray axis 1 direction,Subarray,integer,Number of pixels in axis 1 direction,PRIMARY,JWST,False,This keyword indicates the number of pixels along the first axis (width) of the observed subarray. It defines the size of the captured region in the x-direction.,55,"This provides granular information about the subarray's dimensions, useful for advanced visualization, comparison, or understanding detector layout.",
SUBSIZE2,Number of pixels in the subarray axis 2 direction,Subarray,integer,Number of pixels in axis 2 direction,PRIMARY,JWST,False,"This keyword specifies the dimension of the detector subarray along its second axis, indicating how many pixels were read out in that direction. It's crucial for understanding the size and extent of the captured image data when only a portion of the full detector was used.",60,"Useful for understanding the physical dimensions of a subarray image, relevant for advanced users analyzing instrument modes.",
FASTAXIS,Axis and direction of fast detector readout (±1 or ±2),Subarray,integer,Fast readout axis direction,PRIMARY,JWST,False,"This keyword describes which detector axis (1 or 2) corresponds to the faster readout direction, and whether it's read out in the positive or negative direction. This information is critical for instrument scientists or advanced users performing detailed noise analysis or understanding detector effects.",30,"Primarily relevant for instrument specialists or those performing detailed detector analysis, not typical end-users.",
SLOWAXIS,Axis and direction of slow detector readout (±1 or ±2),Subarray,integer,Slow readout axis direction,PRIMARY,JWST,False,"This keyword indicates which detector axis (1 or 2) corresponds to the slower readout direction, including the positive or negative readout direction. Like FASTAXIS, it's essential for understanding how the detector was operated and for analyzing specific detector artifacts or noise patterns.",30,"Primarily relevant for instrument specialists or those performing detailed detector analysis, not typical end-users.",
APERNAME,S&OC PRD aperture name used for telescope pointing,Aperture,string,S&OC PRD science aperture used,PRIMARY,JWST,False,"This keyword provides the official name of the science aperture used for the observation, as defined by the Spacecraft & Observatory Control (S&OC) system. It tells users exactly which instrument configuration and field of view was selected for the observation, linking the data to specific instrument modes.",85,Essential for understanding the specific instrument configuration and field of view used for the observation.,
PPS_APER,Original aperture name as supplied by PPS,Aperture,string,original AperName supplied by PPS,PRIMARY,JWST,False,This keyword stores the initial aperture name as it was specified in the Planning and Scheduling System (PPS) before any internal processing or translation. It can be useful for tracking the origin of an observation's configuration within the mission's planning pipeline.,50,"Provides context on the aperture name's origin within the planning system, primarily useful for pipeline traceability or specific debugging.",
NUMDTHPT,Total number of points in the entire dither pattern,Dither,integer,Total number of points in dither pattern,PRIMARY,JWST,False,This keyword specifies the total count of individual positions included in the complete dither pattern for the observation. It helps users understand the overall strategy employed to cover the target area or mitigate detector artifacts through multiple shifted exposures.,75,Useful for understanding the overall observation strategy and the full extent of a dithered observation.,
PATT_NUM,Position number within dither pattern,Dither,integer,Position number within dither pattern,PRIMARY,JWST,False,"This keyword indicates the sequential number of the current observation within its complete dither pattern. It allows users to identify where this specific exposure fits into the larger dither sequence, which is crucial for combining multiple dithered images.",90,"Crucial for identifying the specific position of an exposure within a dither sequence, vital for data combination.",
XOFFSET,X offset from pattern starting position in SI ideal frame (arcsec),Dither,float,[arcsec] X offset in SI ideal coordinate frame,PRIMARY,JWST,False,This keyword provides the offset in arcseconds along the X-axis from the nominal starting point of the dither pattern to the actual observation's position. It's essential for precisely aligning and combining individual dithered images to create a mosaic or improve spatial sampling.,95,Essential for accurately aligning and combining individual dithered exposures for improved data quality.,
YOFFSET,Y offset from pattern starting position in SI ideal frame (arcsec),Dither,float,[arcsec] Y offset in SI ideal coordinate frame,PRIMARY,JWST,False,"This keyword provides the offset in arcseconds along the Y-axis from the nominal starting point of the dither pattern to the current observation's position. Similar to XOFFSET, it's vital for precisely aligning and combining multiple dithered exposures to achieve the intended scientific outcome.",95,Essential for accurately aligning and combining individual dithered exposures for improved data quality.,
PATTTYPE,"Dither pattern type (e.g., FULL, INTRAMODULE, INTRASCA, NONE, CYCLING)",Dither,string,Primary dither pattern type,PRIMARY,JWST,False,"This keyword describes the specific strategy or design of the dither pattern employed for the observation. Knowing the pattern type helps users understand the scientific goals behind the dithering (e.g., full coverage, artifact mitigation) and guide their data processing choices.",80,"Useful for understanding the high-level strategy behind the dither pattern, which informs data analysis and interpretation.",
PATTSIZE,"Primary dither pattern size (NONE, SMALL, MEDIUM, LARGE)",Dither,string,Primary dither pattern size,PRIMARY,JWST,False,"This keyword indicates the overall size or extent of the dither pattern used during data acquisition. Dithering is a technique where the telescope is slightly moved between exposures to improve image quality, sample detector pixels better, and remove cosmic rays or detector defects. The size refers to the spatial extent of these shifts.",55,Understanding the dither pattern size is useful for advanced users evaluating data quality and spatial resolution.,
PATTSTRT,Starting point in the dither cycling pattern (1–311 for MIRI),Dither,integer,Starting point in cycling pattern,PRIMARY,JWST,False,"This specifies which step or position in a multi-point dither sequence was the first one executed for the current observation. When a dither pattern has many points, observations might start at an arbitrary point in the sequence, especially if it's a continuation of a larger program.",30,"This keyword is primarily an operational detail for pipeline processing and instrument teams, with little direct end-user relevance.",
PATTNPTS,Number of points in CYCLING dither pattern (≥3 for MIRI),Dither,integer,Number of points in CYCLING pattern,PRIMARY,JWST,False,This keyword indicates the total number of distinct positions the telescope visited as part of a cycling dither pattern. A higher number of points generally leads to better sampling of the detector and more robust cosmic ray rejection when the individual dithered images are combined.,65,"Knowing the number of dither points helps users understand the completeness and quality potential of the combined data, particularly for artifact rejection.",
NUMDSETS,Total number of 4-point dither sets (1–10),Dither,integer,Number of 4-point sets in dither set list,PRIMARY,JWST,False,"This specifies how many complete cycles of a smaller, typically 4-point, dither pattern were executed. Some dither strategies involve repeating a foundational pattern multiple times to achieve specific noise reduction or image quality goals.",60,This provides insight into the observation's redundancy and helps assess the potential for noise reduction or coverage for specific dither strategies.,
DSETSTRT,Starting set number of the 4-point dither sets (1–10),Dither,integer,Starting 4-point set in dither set list,PRIMARY,JWST,False,"This keyword indicates which specific set number of a repeated dither pattern was the first one observed within a larger sequence. It tracks the starting point for multi-set dither strategies, similar to tracking the starting point within a single dither pattern.",30,"This is an internal detail for data pipeline and instrument teams, holding little direct value for typical end-user analysis.",
DITHDIRC,Dither direction: POSITIVE or NEGATIVE,Dither,string,Direction of dither pattern offsets,PRIMARY,JWST,False,"This indicates the general direction of the dither steps, often referring to whether the movements are sequentially positive or negative in a given coordinate axis. This can be relevant for understanding the precise sequence of small movements performed by the telescope.",25,This is a highly specific operational detail of dither execution that rarely impacts the final scientific interpretation for most end-users.,
DITHOPFR,Dither optimization type: POINT-SOURCE or EXTENDED-SOURCE,Dither,string,Dither pattern optimization,PRIMARY,JWST,False,This keyword describes whether the dither pattern was specifically designed to optimize observations of point sources (like stars) or extended sources (like galaxies). Different optimization types use dither step sizes and patterns to best sample the target morphology and mitigate detector effects.,75,"This is very useful as it directly tells the user if the dither strategy was appropriate for the observed target type, influencing photometry or surface brightness measurements.",
DITHPNTS,Sparse cycling dither positions list,Dither,string,Point indices for SPARSE-CYCLING,PRIMARY,JWST,False,This keyword provides a list or description of the specific positions visited during a sparse cycling dither pattern. Sparse dithers typically involve larger steps designed to move a target across different detector regions to mitigate artifacts or improve flat-fielding.,60,"For advanced users, knowing the exact dither positions can be crucial for understanding detector coverage, artifact mitigation, and for re-processing data.",
MRSPRCHN,MIRI MRS channel for which dither is optimized,Dither,string,Optimized MRS channel,PRIMARY,JWST,False,"This keyword specifies which of the MIRI Medium Resolution Spectrometer (MRS) channels the dither pattern was specifically optimized for. The MRS has multiple channels covering different wavelength ranges with varying pixel scales, requiring channel-specific dither strategies.",70,"This is important for MIRI MRS users to confirm the dither strategy was appropriate for the analyzed channel, impacting spectral extraction and data quality.",
NOD_TYPE,"NIRSpec MSA nod pattern type (NONE, 2-, 3-, or 5-SHUTTER-SLITLET)",Dither,string,NIRSpec nod pattern type,PRIMARY,JWST,False,"For NIRSpec Multi-Object Spectrometer (MOS) observations, this keyword describes the type of 'nodding' pattern used. Nodding is a technique where the telescope moves the target between different micro-shutter array (MSA) shutters to allow for accurate background subtraction and improved data quality, especially for faint targets.",75,"This is crucial for NIRSpec MOS users to understand how background subtraction was handled, which directly impacts the quality of extracted spectra.",
PRIDTYPE,NIRCam primary dither specification with number of points,Dither,string,Primary dither points and packing,PRIMARY,JWST,False,"This keyword indicates the specific type of primary dither pattern used during the observation, along with the total number of points in that pattern. Dithering involves slightly shifting the telescope's pointing between exposures to improve image quality, fill in detector gaps, and mitigate cosmic ray effects.",55,This keyword is useful for advanced users to understand the observation strategy and assess data quality or completeness.,
PRIDTPTS,Number of points in FGS primary dither pattern,Dither,integer,Number of points in primary dither pattern,PRIMARY,JWST,False,This keyword specifies the total number of individual pointing positions in the primary dither pattern performed by the Fine Guidance Sensor (FGS) during the observation. A higher number of dither points generally allows for better sampling and artifact rejection.,50,Understanding the number of dither points helps advanced users assess the quality and coverage of combined data products.,
SUBPXPAT,"Subpixel dither pattern type (STANDARD, SMALL-GRID-DITHER, NONE)",Dither,string,Subpixel dither pattern type,PRIMARY,JWST,False,"This keyword describes the type of subpixel dither pattern applied, which is designed to sample the sky at resolutions finer than a single detector pixel. Common types include 'STANDARD' or 'SMALL-GRID-DITHER'. Using a subpixel dither improves the effective resolution of the final image.",60,"This is valuable for users interested in high-resolution imaging, as it directly impacts the achievable detail in the final processed data.",
SUBPXPTS,Number of points in subpixel dither pattern,Dither,integer,Number of points in subpixel dither pattern,PRIMARY,JWST,False,"This keyword indicates the number of distinct pointing positions in the subpixel dither pattern. More points in a subpixel dither pattern contribute to a more finely sampled final image, which is crucial for achieving optimal spatial resolution.",55,Knowing the number of subpixel dither points is useful for advanced users evaluating the potential resolution and quality of the final image.,
SMGRDPAT,NIRCam small grid dither pattern name,Dither,string,Small grid dither pattern name,PRIMARY,JWST,False,This keyword specifies the particular name or configuration of the NIRCam small grid dither pattern used. Small grid dithers are a specialized type of dither often employed for specific science cases requiring precise subpixel sampling or mosaic patterns.,45,This keyword is relevant for specialized NIRCam users who need to know the exact dither strategy for their specific analysis.,
NRIMDTPT,NIRISS direct image dither number of points,Dither,integer,Number of points in direct image dither pattern,PRIMARY,JWST,False,This keyword indicates the number of dither points specifically used for direct imaging observations with the NIRISS instrument. This value informs how many distinct positions the instrument observed as part of its dither sequence.,40,This is useful for NIRISS instrument specialists or advanced users analyzing direct imaging data to understand data coverage.,
SPATNSTP,MIRI LRS number of steps in the spatial direction,Dither,integer,LRS spatial steps,PRIMARY,JWST,False,This keyword specifies the total number of steps or positions taken in the spatial direction during a MIRI Low-Resolution Spectroscopy (LRS) observation. These steps are part of a dither pattern to improve spatial sampling or remove detector artifacts.,45,This keyword is valuable for users working with MIRI LRS data to understand the spatial sampling of their spectra.,
SPATSTEP,MIRI LRS distance between steps in the spatial direction (arcsec),Dither,float,LRS spatial step distance,PRIMARY,JWST,False,"This keyword provides the physical distance, in arcseconds, between successive steps in the spatial direction for a MIRI LRS observation. This value quantifies the actual offset applied during spatial dithering.",65,This precise measurement is highly useful for advanced users performing detailed spatial analysis or source extraction from MIRI LRS data.,
SPAT_NUM,MIRI LRS position number within spatial steps,Dither,integer,LRS spatial position number,PRIMARY,JWST,False,This keyword indicates the specific position number of the current exposure within the larger sequence of spatial steps for a MIRI LRS observation. It helps to identify where this particular frame fits into the overall dither pattern.,50,This keyword is important for advanced users needing to track and combine individual frames from a dither sequence.,
SPECNSTP,MIRI LRS number of steps in the spectral direction,Dither,integer,LRS spectral steps,PRIMARY,JWST,False,This keyword specifies the total number of steps or positions taken in the spectral direction during a MIRI Low-Resolution Spectroscopy (LRS) observation. These steps are part of a dither pattern designed to mitigate fringing and improve spectral fidelity.,45,This keyword is valuable for users working with MIRI LRS data to understand the spectral sampling and artifact mitigation strategy.,
SPECSTEP,MIRI LRS distance between steps in the spectral direction (arcsec),Dither,float,LRS spectral step distance,PRIMARY,JWST,False,This keyword indicates the physical distance in arcseconds between successive exposures when dithered along the spectral direction for MIRI LRS observations. It's important for understanding how the instrument sampled the spectrum to mitigate detector artifacts or improve resolution.,55,"This details a specific dither parameter, useful for understanding data quality and processing, but not for casual viewing.",
SPEC_NUM,MIRI LRS position number within spectral steps,Dither,integer,LRS spectral position number,PRIMARY,JWST,False,"This identifies the specific position within a sequence of spectral dither steps for MIRI LRS observations. It helps researchers track which part of the dither pattern a particular exposure corresponds to, crucial for co-adding and artifact removal.",50,"This indicates the dither position, useful for advanced data processing and quality control.",
SPTOFFST,MIRI LRS spatial offset from pattern starting position (arcsec),Dither,float,LRS spatial offset,PRIMARY,JWST,False,This keyword specifies the spatial offset in arcseconds from the starting point of the dither pattern for MIRI LRS observations. It helps determine the precise on-sky position of the observation relative to the overall pattern.,55,"This describes a spatial offset within a dither pattern, relevant for precise astrometry and advanced data reduction.",
SPCOFFST,MIRI LRS spectral offset from pattern starting position (arcsec),Dither,float,LRS spectral offset,PRIMARY,JWST,False,This keyword specifies the spectral offset in arcseconds from the starting point of the dither pattern for MIRI LRS observations. It helps determine how the instrument's detector elements were moved along the spectral direction relative to the overall pattern.,55,"This describes a spectral offset within a dither pattern, relevant for precise wavelength calibration and advanced data reduction.",
VISITYPE,"Visit type (e.g., PRIME_TARGETED_FIXED)",Visit,string,Visit type,PRIMARY,JWST,False,"This keyword describes the overall type of observation visit, such as whether it's a primary target, a calibration, or an engineering test. It helps users understand the primary scientific or operational goal of the observation.",80,"This offers important high-level context about the observation's purpose, useful for understanding the data.",
VSTSTART,Observatory UTC time when the visit started,Visit,string,UTC visit start time,PRIMARY,JWST,False,"This keyword records the precise UTC date and time when the entire observation visit began. It's crucial for time-sensitive analyses, linking observations to external events, and understanding the overall timeline of data acquisition.",95,The start time of an entire visit is highly relevant for understanding when the observation took place.,
VISITSTA,"Status of the visit (e.g., SUCCESSFUL, DATALOSS)",Visit,string,Status of a visit,PRIMARY,JWST,False,"This keyword indicates the overall outcome or status of the observation visit, such as 'SUCCESSFUL,' 'DATALOSS,' or 'FAILED.' It's critical for users to quickly assess the quality and usability of the data.",95,"This provides critical information about the success and quality of the observation, highly relevant for data assessment.",
NEXPOSUR,Total number of planned exposures in the visit,Visit,integer,Total number of planned exposures in visit,PRIMARY,JWST,False,This keyword specifies the total number of individual exposures that were planned to be taken during this entire observation visit. It provides context for the complete dataset and helps verify if all expected data frames were acquired.,75,This provides useful context about the scope of the observation and data completeness.,
INTARGET,At least one exposure in the visit is internally targeted,Visit,boolean,At least one exposure in visit is internal,PRIMARY,JWST,False,"This boolean keyword indicates whether at least one exposure within the observation visit was designated as an 'internal target,' typically meaning it's pointed at an internal calibration source rather than an external astronomical object. It helps differentiate between science and calibration data.",78,This helps users understand if the data pertains to an astronomical target or an internal calibration.,
TARGOOPP,Visit scheduled as a target of opportunity,Visit,boolean,Visit scheduled as target of opportunity,PRIMARY,JWST,False,"This boolean keyword indicates whether the observation visit was scheduled as a 'Target of Opportunity' (ToO), meaning it was triggered by a transient event like a supernova or gamma-ray burst. It provides critical context about the transient nature of the observed phenomenon.",90,"This provides essential context about the nature of the observation, indicating if it was triggered by a transient event.",
TSOVISIT,Visit uses Time Series Observation special requirement,Visit,boolean,Timer Series Observation visit indicator,PRIMARY,JWST,False,"This boolean keyword indicates if the observation was part of a Time Series Observation (TSO) program. TSOs are designed to capture changes over time, often for exoplanet transits or stellar variability studies, making this crucial for understanding the data's scientific purpose and appropriate analysis techniques.",75,It informs users about a specific observing mode that significantly impacts scientific interpretation and data analysis strategies.,
EXP_ONLY,Exposure taken through special commanding without SI configuration,Visit,boolean,Special commanding without SI configuration,PRIMARY,JWST,False,"This keyword indicates if the exposure was taken using special commanding, bypassing the standard Science Instrument (SI) configuration process. This typically signifies an engineering or diagnostic exposure, rather than a scientific observation intended for public release and analysis.",25,"This keyword primarily identifies non-standard or engineering exposures, which are rarely relevant for typical end-user scientific analysis.",
CROWDFLD,FGSes operating in a crowded star field,Visit,boolean,Are the FGSes in a crowded field?,PRIMARY,JWST,False,"This boolean keyword indicates whether the Fine Guidance Sensors (FGSes) encountered a crowded star field during the observation. Operating in a crowded field can potentially affect the accuracy and stability of guide star acquisition and tracking, which might subtly influence the overall pointing stability and astrometric quality of the data.",45,"This offers insight into potential pointing stability challenges, which can be useful for advanced users assessing data quality.",
GS_ORDER,Index of guide star within the list of selected guide stars,Guide Star,integer,guide star index within selected guide star list,PRIMARY,JWST,False,This integer specifies the index or sequential order of the particular guide star within a list of selected guide stars for an observation. It is an internal identifier used to distinguish between multiple guide stars that might have been considered or used.,20,"This is an internal identifier for guide star selection, not generally relevant for typical scientific data analysis by end-users.",
GSSTRTTM,UTC time when guide star activity started,Guide Star,string,UTC time when guide star activity started,PRIMARY,JWST,False,This keyword records the Coordinated Universal Time (UTC) when the guide star acquisition or tracking activity commenced for the observation. It provides a precise timestamp for when the telescope began actively using the guide star for fine pointing.,55,"Provides a precise timestamp for the start of guiding activity, which can be useful for detailed timing analysis or correlating with other events.",
GSENDTIM,UTC time when guide star activity completed,Guide Star,string,UTC time when guide star activity completed,PRIMARY,JWST,False,"This keyword records the Coordinated Universal Time (UTC) when the guide star acquisition or tracking activity concluded. Paired with GSSTRTTM, it defines the full duration during which the guide star was actively used to stabilize the telescope's pointing.",55,"Provides a precise timestamp for the end of guiding activity, useful for detailed timing analysis or assessing guiding duration.",
GDSTARID,"Guide Star Catalog 2 identifier (10 character, base-36)",Guide Star,string,guide star identifier,PRIMARY,JWST,False,"This keyword provides the unique 10-character, base-36 identifier for the specific guide star used from the Guide Star Catalog 2 (GSC2). This ID allows researchers to look up detailed properties of the guide star in star catalogs.",60,"This identifies the specific guide star used, allowing advanced users to look up its properties for detailed analysis or verification.",
GS_RA,ICRS right ascension of the guide star (degrees),Guide Star,float,guide star right ascension,PRIMARY,JWST,False,"This keyword specifies the ICRS (International Celestial Reference System) Right Ascension coordinate of the guide star, measured in degrees. It is a fundamental celestial coordinate defining the guide star's position on the sky, crucial for understanding the telescope's pointing context.",80,"Provides the precise celestial Right Ascension of the guide star, which is crucial for understanding pointing context and verifying astrometry.",
GS_DEC,ICRS declination of the guide star (degrees),Guide Star,float,guide star declination,PRIMARY,JWST,False,"This keyword specifies the ICRS (International Celestial Reference System) Declination coordinate of the guide star, measured in degrees. Along with GS_RA, it precisely defines the guide star's position on the sky and is essential for astrometric analyses.",80,"Provides the precise celestial Declination of the guide star, crucial for understanding pointing context and verifying astrometry.",
GS_URA,ICRS right ascension uncertainty of the guide star (arcsec),Guide Star,float,guide star right ascension uncertainty,PRIMARY,JWST,False,"This keyword provides the uncertainty in the Right Ascension (RA) measurement of the guide star, expressed in arcseconds. This value indicates the precision of the guide star's known position, which directly impacts the overall astrometric accuracy and pointing stability of the observation.",65,This provides a crucial metric for advanced users to assess the precision of the guide star's Right Ascension and its potential impact on pointing accuracy.,
GS_UDEC,ICRS declination uncertainty of the guide star (arcsec),Guide Star,float,guide star declination uncertainty,PRIMARY,JWST,False,"This keyword indicates the uncertainty in the celestial declination of the guide star used to keep the telescope pointed accurately. It tells astronomers how precisely the guide star's vertical position is known, which impacts the overall pointing stability and accuracy of the observation.",45,"This guide star uncertainty is mainly relevant for advanced users diagnosing pointing issues, not for general data consumption.",
GS_MAG,Guide star magnitude in FGS detector,Guide Star,float,guide star magnitude,PRIMARY,JWST,False,This keyword specifies the magnitude (brightness) of the guide star as measured by the Fine Guidance Sensor (FGS) detector. The guide star's brightness is crucial for assessing the reliability of the pointing system and for understanding the signal-to-noise ratio of the guiding process.,75,Knowing the guide star's brightness helps users assess observation quality and potential pointing stability.,
GS_UMAG,Guide star magnitude uncertainty,Guide Star,float,guide star magnitude uncertainty,PRIMARY,JWST,False,"This keyword represents the uncertainty in the measured magnitude of the guide star. It quantifies how precisely the guide star's brightness is known, which can be relevant for understanding the reliability of the guiding process and any potential issues.",40,"This guide star magnitude uncertainty is mainly relevant for advanced users diagnosing pointing issues, not for general data consumption.",
GS_V3_PA,V3 position angle of the guide star at the guide star location (degrees),Guide Star,float,[deg] guide star V3 Position Angle for science,PRIMARY,JWST,False,"This keyword gives the position angle of the guide star with respect to the V3 axis of the telescope, measured in degrees. It helps describe the precise orientation of the guide star relative to the instrument's field of view, which can be important for understanding roll stability and field rotation.",55,"This keyword provides specific technical details about guide star orientation, useful for advanced pointing analysis but less for general users.",
PCS_MODE,"Pointing Control System mode (FINEGUIDE, COARSE, TRACK, MOVING, NONE)",Guide Star,string,Pointing Control System mode,PRIMARY,JWST,False,"This keyword describes the mode in which the Pointing Control System (PCS) was operating during the observation. Examples include 'FINEGUIDE' for precise pointing using a guide star, or 'TRACK' for tracking a moving target. This information is vital for understanding the pointing stability and quality of the observation.",85,Knowing the pointing mode is crucial for understanding the stability and quality of the observation.,
VISITEND,UTC time when the visit ended,Guide Star,string,UTC time when the visit ended,PRIMARY,JWST,False,"This keyword records the Coordinated Universal Time (UTC) when a specific astronomical visit, or observation block, concluded. It helps track the overall timeline of observations and can be used for scheduling or correlating with other events.",90,The end time of an observation visit is important for understanding the overall observation timeline and context.,
